"Date","Price","Open","High","Low","Vol.","Change Avg"
"10/01/2001","4.2850","4.3630","4.3730","4.2752","","-1.61%"
"09/01/2001","4.3550","4.2600","4.4130","4.2519","","2.18%"
"08/01/2001","4.2620","4.2095","4.2665","4.2051","","1.19%"
"07/01/2001","4.2120","4.1695","4.2238","4.1635","","1.01%"
"06/01/2001","4.1700","4.1355","4.1850","4.1326","","0.77%"
"05/01/2001","4.1380","4.1350","4.1576","4.1164","","0.01%"
"04/01/2001","4.1375","4.2095","4.2390","4.1298","","-1.53%"
"03/01/2001","4.2020","4.1115","4.2400","4.1055","","2.04%"
"02/01/2001","4.1180","4.1400","4.1532","4.0922","","-0.66%"
"01/01/2001","4.1455","4.0460","4.1640","4.0455","","2.52%"
"12/01/2000","4.0435","4.0995","4.1074","4.0355","","-1.31%"
"11/01/2000","4.0970","4.1390","4.1402","4.0884","","-1.01%"
"10/01/2000","4.1390","4.0485","4.1749","4.0298","","2.86%"
"09/01/2000","4.0240","4.0190","4.0810","4.0080","","0.15%"
"08/01/2000","4.0180","4.0865","4.0928","3.9940","","-1.76%"
"07/01/2000","4.0900","4.0810","4.1196","4.0600","","0.17%"
"06/01/2000","4.0830","4.1659","4.1710","4.0690","","-1.98%"
"05/01/2000","4.1654","4.0386","4.2424","4.0383","","3.13%"
"04/01/2000","4.0390","4.0191","4.0902","4.0176","","0.54%"
"03/01/2000","4.0173","4.0451","4.0899","3.9440","","-0.67%"
"02/01/2000","4.0446","4.0972","4.0996","4.0235","","-1.30%"
"01/01/2000","4.0980","4.1524","4.1769","4.0561","","-1.22%"
"12/01/1999","4.1486","4.2278","4.2404","4.1379","","-1.93%"
"11/01/1999","4.2302","4.2443","4.2702","4.1965","","-0.32%"
"10/01/1999","4.2437","4.2787","4.2862","4.2432","","-0.80%"
"09/01/1999","4.2779","4.2448","4.2969","4.2034","","0.82%"
"08/01/1999","4.2430","4.1601","4.2705","4.1288","","2.07%"
"07/01/1999","4.1571","4.0767","4.1700","4.0531","","1.87%"
"06/01/1999","4.0808","4.1067","4.1317","4.0692","","-0.67%"
"05/01/1999","4.1083","4.1548","4.1643","4.0715","","-1.10%"
"04/01/1999","4.1540","4.0351","4.1963","4.0283","","3.02%"
"03/01/1999","4.0323","4.0487","4.0770","3.9960","","-0.30%"
"02/01/1999","4.0446","4.1018","4.1105","4.0393","","-1.46%"
"01/01/1999","4.1044","4.1625","4.1675","4.0240","","-1.30%"
"12/01/1998","4.1584","4.1866","4.2185","4.1452","","-0.78%"
"11/01/1998","4.1911","4.2627","4.3355","4.1215","","-1.98%"
"10/01/1998","4.2756","3.8533","4.4316","3.8507","","11.17%"
"09/01/1998","3.8460","3.7783","3.8791","3.7695","","1.37%"
"08/01/1998","3.7939","3.6518","3.8886","3.6422","","4.14%"
"07/01/1998","3.6432","3.6722","3.6830","3.6380","","-0.80%"
"06/01/1998","3.6726","3.6527","3.6944","3.6410","","0.45%"
"05/01/1998","3.6562","3.7026","3.7066","3.6196","","-1.39%"
"04/01/1998","3.7079","3.6029","3.7870","3.5987","","2.98%"
"03/01/1998","3.6006","3.5851","3.6267","3.5693","","0.46%"
"02/01/1998","3.5841","3.6025","3.6200","3.5575","","-0.43%"
"01/01/1998","3.5996","3.5405","3.6225","3.5309","","1.81%"
"12/01/1997","3.5355","3.5396","3.5524","3.5211","","-0.08%"
"11/01/1997","3.5385","3.5349","3.5580","3.5181","","0.20%"
"10/01/1997","3.5316","3.4943","3.5849","3.4768","","1.04%"
"09/01/1997","3.4952","3.5189","3.5294","3.4892","","-0.76%"
"08/01/1997","3.5220","3.5357","3.5613","3.5035","","-0.57%"
"07/01/1997","3.5421","3.6020","3.6063","3.4853","","-1.48%"
"06/01/1997","3.5953","3.4009","3.6377","3.3742","","5.97%"
"05/01/1997","3.3926","3.4082","3.4208","3.3601","","-0.40%"
"04/01/1997","3.4061","3.3577","3.4224","3.3451","","1.47%"
"03/01/1997","3.3569","3.3480","3.3763","3.3448","","0.34%"
"02/01/1997","3.3456","3.3110","3.3617","3.2956","","1.09%"
